Date,Venue,Race,Length
06/03/2019,Happy Valley,1,1800
06/03/2019,Happy Valley,2,1200
06/03/2019,Happy Valley,4,1650
06/03/2019,Happy Valley,5,1650
06/03/2019,Happy Valley,6,1800
06/03/2019,Happy Valley,7,1200
06/03/2019,Happy Valley,8,1200
02/03/2019,Sha Tin,1,1000
02/03/2019,Sha Tin,2,1200
02/03/2019,Sha Tin,3,1400
02/03/2019,Sha Tin,4,1400
02/03/2019,Sha Tin,5,1200
02/03/2019,Sha Tin,6,1200
02/03/2019,Sha Tin,7,1200
02/03/2019,Sha Tin,8,1400
02/03/2019,Sha Tin,9,1800
02/03/2019,Sha Tin,10,1400
27/02/2019,Happy Valley,1,1650
27/02/2019,Happy Valley,2,1800
27/02/2019,Happy Valley,3,1000
27/02/2019,Happy Valley,4,1200
27/02/2019,Happy Valley,5,1650
27/02/2019,Happy Valley,6,1200
27/02/2019,Happy Valley,7,1650
27/02/2019,Happy Valley,8,1200
24/02/2019,Sha Tin,1,1400
24/02/2019,Sha Tin,2,1600
24/02/2019,Sha Tin,3,1200
24/02/2019,Sha Tin,4,1400
24/02/2019,Sha Tin,5,1650
24/02/2019,Sha Tin,6,1600
24/02/2019,Sha Tin,7,1000
24/02/2019,Sha Tin,8,2000
24/02/2019,Sha Tin,10,1650
20/02/2019,Happy Valley,4,1200
20/02/2019,Happy Valley,8,1650
17/02/2019,Sha Tin,4,1200
17/02/2019,Sha Tin,5,1400
17/02/2019,Sha Tin,6,1400
17/02/2019,Sha Tin,8,1400
17/02/2019,Sha Tin,9,1800
17/02/2019,Sha Tin,10,1400
13/02/2019,Happy Valley,1,1000
13/02/2019,Happy Valley,2,1650
13/02/2019,Happy Valley,3,1200
13/02/2019,Happy Valley,4,1650
13/02/2019,Happy Valley,5,1800
13/02/2019,Happy Valley,6,1200
13/02/2019,Happy Valley,7,1650
13/02/2019,Happy Valley,8,1650
13/02/2019,Happy Valley,9,1200
10/02/2019,Sha Tin,1,1200
10/02/2019,Sha Tin,2,1200
10/02/2019,Sha Tin,3,2000
10/02/2019,Sha Tin,4,1200
10/02/2019,Sha Tin,5,1600
10/02/2019,Sha Tin,6,1400
10/02/2019,Sha Tin,7,1200
10/02/2019,Sha Tin,8,1000
10/02/2019,Sha Tin,9,1200
10/02/2019,Sha Tin,10,1400
07/02/2019,Sha Tin,1,1800
07/02/2019,Sha Tin,2,1600
07/02/2019,Sha Tin,3,1400
07/02/2019,Sha Tin,4,1200
07/02/2019,Sha Tin,5,1200
07/02/2019,Sha Tin,6,1400
07/02/2019,Sha Tin,7,1200
07/02/2019,Sha Tin,8,1400
07/02/2019,Sha Tin,9,1200
07/02/2019,Sha Tin,10,1400
02/02/2019,Sha Tin,1,1000
02/02/2019,Sha Tin,2,1800
